,Rank,track_popularity,prop_loudness,prop_speechiness,prop_instrumentalness
492,93,69,-8.822,0.0355,2.89e-06
493,94,3,-8.268,0.0276,0.0
494,95,65,-6.886,0.25,0.0
495,96,48,-4.052,0.0492,0.000868
496,97,0,-3.263,0.248,8.77e-06
497,98,59,-3.752,0.0589,0.0
498,99,67,-7.752,0.035,0.00784
499,100,50,-7.251,0.0343,0.0569
500,1,81,-7.223,0.0824,8.15e-05
501,2,81,-6.061,0.0295,0.0
502,3,80,-7.503,0.0815,1.03e-06
503,4,77,-8.118,0.0956,0.00142
504,5,73,-3.081,0.0625,0.00123
505,6,75,-5.922,0.0304,0.0
506,7,78,-6.646,0.0484,0.0
507,8,78,-7.417,0.0741,0.0056
508,9,79,-6.627,0.0379,2.17e-05
509,10,78,-5.036,0.0323,1.65e-06
510,11,82,-5.412,0.054,0.0
511,12,76,-5.231,0.0762,0.0
512,13,76,-5.709,0.0678,0.0
513,14,78,-6.684,0.0676,0.0
514,15,1,-4.467,0.0619,0.0
515,16,80,-5.797,0.0583,0.0
516,17,0,-5.593,0.0386,0.000183
517,18,79,-5.672,0.0369,0.0
518,19,70,-7.388,0.106,0.0
519,20,84,-5.298,0.0433,0.0
520,21,0,-2.86,0.0536,0.0
521,22,0,-4.453,0.0415,0.0
522,23,78,-4.123,0.0394,0.0
523,24,77,-5.595,0.0402,0.00258
524,25,72,-4.789,0.185,0.0
525,26,73,-5.728,0.0457,9.86e-06
526,27,0,-9.828,0.438,0.0
527,28,74,-4.389,0.0334,0.0
528,29,79,-3.863,0.0527,0.0
529,30,81,-3.804,0.0619,0.0
530,31,0,-6.75,0.078,0.0
531,32,0,-6.536,0.0889,0.0016
532,33,45,-4.701,0.0418,5.63e-05
533,34,72,-6.527,0.047,0.0
534,35,69,-4.01,0.0304,0.0
535,36,80,-3.669,0.045,0.0
536,37,83,-7.063,0.0515,0.0
537,38,1,-8.361,0.0875,3.08e-06
538,39,66,-5.449,0.0338,0.0
539,40,77,-7.259,0.0434,0.0
540,41,75,-4.091,0.151,0.0
541,42,0,-7.109,0.0505,5.08e-06
542,43,76,-4.987,0.129,0.0
543,44,85,-9.461,0.0329,0.149
544,45,73,-3.865,0.0882,7.04e-06
545,46,2,-5.936,0.0489,0.0
546,47,70,-5.402,0.0464,1.03e-06
547,48,70,-4.868,0.0587,1.94e-05
548,49,76,-4.373,0.0731,0.00169
549,50,64,-4.874,0.0377,0.0
550,51,64,-6.251,0.0677,0.000139
551,52,77,-6.237,0.0309,1.18e-05
552,53,1,-6.503,0.0615,5.35e-06
553,54,71,-5.849,0.141,8.41e-05
554,55,0,-2.215,0.0659,8.11e-06
555,56,77,-5.662,0.0501,0.0
556,57,0,-6.419,0.0553,0.0
557,58,78,-5.526,0.0425,0.0
558,59,74,-5.738,0.318,0.0
559,60,73,-4.038,0.0567,4.21e-06
560,61,64,-5.488,0.0404,5.87e-05
561,62,68,-5.281,0.06,0.0
562,63,81,-5.303,0.0464,0.0
563,64,77,-7.863,0.0551,0.00019
564,65,74,-4.119,0.0469,0.00193
565,66,76,-4.792,0.0499,0.0
566,67,71,-5.655,0.0432,0.0
567,68,74,-5.508,0.0629,0.0
568,69,67,-7.161,0.118,2.44e-06
569,70,77,-3.724,0.0964,0.0
570,71,0,-6.607,0.0522,4.11e-06
571,72,0,-4.125,0.0388,0.0
572,73,65,-3.226,0.219,0.0
573,74,0,-4.031,0.163,0.0
574,75,83,-5.677,0.141,2.29e-05
575,76,66,-8.714,0.0376,1.25e-05
576,77,68,-8.337,0.178,0.0
577,78,67,-3.803,0.128,0.0
578,79,0,-6.447,0.0652,0.0
579,80,70,-5.095,0.0443,0.0
580,81,69,-6.267,0.0805,0.00152
581,82,60,-3.57,0.195,0.0
582,83,67,-4.697,0.141,0.0
583,84,49,-9.661,0.0436,1.14e-05
584,85,67,-6.994,0.052,0.0
585,86,44,-7.834,0.0388,3.92e-05
586,87,79,-2.868,0.0729,0.0
587,88,69,-5.137,0.126,0.0
588,89,68,-8.644,0.0302,1.04e-06
589,90,0,-4.94,0.13,0.0
